rep,sim_scenario_id,sim_id,m,w,niche_mult,JM,ntimesteps,nu
1,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143916_984570,0.24164448437915742,1210.8473942071887,0.15,1000000,10,1e-5
2,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143921_241188,0.3122506702821582,62334.83736325644,0.15,1000000,10,1e-5
3,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143925_470265,0.005605352905010507,1864.1883778320953,1,1000000,10,1e-5
4,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143930_791189,0.13167889206348363,15337069.85704523,1,1000000,10,1e-5
5,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143934_718196,0.44514176885096995,551388695.6414062,0.15,1000000,10,1e-5
6,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143938_707084,0.0017574262501805556,2875192.8455989463,0.15,1000000,10,1e-5
7,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143942_449950,0.04812713432527784,86.43083481266451,1,1000000,10,1e-5
8,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143946_191570,0.12309200184170672,22171966.08606099,1,1000000,10,1e-5
9,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143950_665296,0.00919480044643223,8962548.730446802,0.15,1000000,10,1e-5
10,Diatoms - 400_L_300 Counts,SIM_Diatoms - 400_L_300 Counts_20220825_143953_501198,0.0010415246581740366,20889.169319330078,20,1000000,10,1e-5
